statement,cluster,score
s10,0,4077
s15,0,4077
s17,0,4077
s27,0,4077
s28,0,4077
s29,0,4077
s30,0,4077
s31,0,4077
s32,0,4077
s33,0,4077
s34,0,4077
s35,0,4077
s36,0,4077
s37,0,4077
s38,0,4077
s39,0,4077
s40,0,4077
s41,0,4077
s42,0,4077
s43,0,4077
s44,0,4077
s45,0,4077
s46,0,4077
s47,0,4077
s48,0,4077
s49,0,4077
s5,0,4077
s50,0,4077
s51,0,4077
s52,0,4077
s53,0,4077
s54,0,4077
s55,0,4077
s56,0,4077
s57,0,4077
s58,0,4077
s59,0,4077
s60,0,4077
s61,0,4077
s62,0,4077
s63,0,4077
s64,0,4077
s65,0,4077
s66,0,4077
s67,0,4077
s68,0,4077
s69,0,4077
s70,0,4077
s71,0,4077
s72,0,4077
s73,0,4077
s18,1,4083
s12,2,4087
s13,2,4087
s19,3,4107
s20,3,4107
s7,3,4107
s8,3,4107
s16,3,4110
s21,3,4110
s4,3,4110
s6,3,4110
s9,3,4110
s0,4,4375
s2,4,4375
s1,5,4468
s3,5,4468
s22,6,5831
s23,6,5831
s24,7,8154
s25,7,8154
s14,8,14746
s11,9,21106
s26,9,21106
