token,err
s0,0.00000000
s1,0.29593729
s2,0.29027016
s3,0.29593729
s4,0.13099810
s5,0.07699983
s6,0.13099810
s7,0.13199806
s8,0.13199806
s9,0.13099810
s10,0.07699983
s11,0.27372102
s12,0.26924737
s13,0.26924737
s14,0.34248751
s15,0.07699983
s16,0.13099810
s17,0.07699983
s18,0.13099810
s19,0.13199806
s20,0.13199806
s21,0.13099810
s22,0.00000000
s23,0.12849698
s24,0.25499475
s25,0.25499475
s26,0.25499592
s27,0.40471302
s28,0.23799361
s29,0.28072063
s30,0.00000000
s31,0.00000000
s32,0.40471302
s33,0.40471302
s34,0.27372102
s35,0.11099674
s36,0.00000024
s37,0.00000000
s38,0.06599835
s39,0.06599806
s40,0.07855267
s41,0.00000000
s42,0.07810639
s43,0.27119281
s44,0.00000000
s45,0.26924675
s46,0.25510116
s47,0.00000000
s48,0.00000000
s49,0.00000000
s50,0.00000000
s51,0.00000000
s52,0.00000000
s53,0.00000000
s54,0.00000000
s55,0.00000000
s56,0.00000000
s57,0.00000000
s58,0.26924675
s59,0.00000000
s60,0.00000000
s61,0.00000000
s62,0.00000000
s63,0.26924675
